Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:23.672000,1.2.csv,Audio File 1.mp3,0.50974026,-0.230519481,Blue,Audio File 1,123.046875,0.0,123.046875,0.0,0.0,0.0,23.672,0.0,0,0,0.0,0,0,-0.064935065,0.064935065,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:25.384000,1.7.csv,Audio File 1.mp3,0.405233864,-0.475246558,Blue,Audio File 1,126.0480183,1.732710888,124.0472561,0.024390244,0.004656051,1.75300426,25.384,3.001143293,3.001143293,1.023951086,2.43902439,2.43902439,2.43902439,-0.244727077,0.244727077,Small Change (0-5%),Increase in Tempo → Decrease in Arousal,0.5177956372197674,0.4480946123087131
000:00:27.698000,1.2.csv,Audio File 1.mp3,0.246753247,-0.12012987,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.009274853,0.0,27.698,0.0,0,-0.757564503,0.0,0,0,0.355116688,0.355116688,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:32.358000,1.2.csv,Audio File 1.mp3,0.194805195,-0.042207792,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.009274853,0.0,32.358,0.0,0,0,0.0,0,0,0.077922078,0.077922078,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:33.337000,1.1.csv,Audio File 1.mp3,0.554019457,0.224731183,Green,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.009237604,-3.065519196,33.337,-3.001143293,3.001143293,-3.131275992,-2.380952381,2.380952381,2.380952381,0.266938975,0.266938975,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
000:00:35.183000,1.12.csv,Audio File 1.mp3,0.382206391,-0.287175075,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.024390244,0.009237604,1.625754763,35.183,3.001143293,3.001143293,2.541318504,2.43902439,2.43902439,2.43902439,-0.511906257,0.511906257,Small Change (0-5%),Increase in Tempo → Decrease in Arousal,0.5177956372197674,0.4480946123087131
000:00:35.556000,1.8.csv,Audio File 1.mp3,0.471416339,-0.311178617,Blue,Audio File 1,126.0480183,1.732710888,125.0476372,0.0,0.013856406,0.0,35.556,0.0,0,-4.358591858,0.0,0,0,-0.024003543,0.024003543,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:36.001000,1.12.csv,Audio File 1.mp3,0.404218278,-0.06705621,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.009237604,0.0,36.001,0.0,0,0,0.0,0,0,0.244122407,0.244122407,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:37.400000,1.10.csv,Audio File 1.mp3,0.577450231,-0.213948681,Blue,Audio File 1,126.0480183,0.0,126.0480183,0.0,0.004618802,0.0,37.4,0.0,0,0,0.0,0,0,-0.146892471,0.146892471,Small Change (0-5%),No Change,0.4822043628158103,0.40735873846246645
000:00:39.717000,1.11.csv,Audio File 1.mp3,0.508750509,0.018537019,Green,Audio File 1,123.046875,1.732710888,125.0476372,-0.023809524,0.004618802,-1.295271166,39.717,-3.001143293,3.001143293,-0.55902942,-2.380952381,2.380952381,2.380952381,0.2324857,0.2324857,Small Change (0-5%),Decrease in Tempo → Increase in Arousal,0.4466130884118532,0.36759276636969185
