Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:03.890000,17.13.csv,Audio File 17.mp3,-0.042700699,-0.308473705,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,3.89,0.0,0,0,0.0,0,0,-0.191590588,0.191590588,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.009000,17.13.csv,Audio File 17.mp3,-0.042700699,-0.308473705,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.009,0.0,0,0,0.0,0,0,0,0,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.024000,17.18.csv,Audio File 17.mp3,-0.007675148,-0.053273257,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.024,0.0,0,0,0.0,0,0,0.255200447,0.255200447,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.082000,17.15.csv,Audio File 17.mp3,-0.048701299,0.116883117,Yellow,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.082,0.0,0,0,0.0,0,0,0.170156374,0.170156374,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.165000,17.6.csv,Audio File 17.mp3,-0.139889223,0.137753077,Yellow,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.165,0.0,0,0,0.0,0,0,0.02086996,0.02086996,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.187000,17.15.csv,Audio File 17.mp3,-0.048701299,0.116883117,Yellow,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.187,0.0,0,0,0.0,0,0,-0.02086996,0.02086996,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.235000,17.2.csv,Audio File 17.mp3,0.317434848,-0.591003154,Blue,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.235,0.0,0,0,0.0,0,0,-0.707886271,0.707886271,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.347000,17.10.csv,Audio File 17.mp3,0.13671275,-0.159512837,Blue,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.347,0.0,0,0,0.0,0,0,0.431490316,0.431490316,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.349000,17.1.csv,Audio File 17.mp3,-0.053944158,0.123133641,Yellow,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.349,0.0,0,0,0.0,0,0,0.282646478,0.282646478,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.482000,17.8.csv,Audio File 17.mp3,-0.001850002,-0.061013061,Red,Audio File 17,106.1320755,0.0,106.1320755,0.0,0.0,0.0,4.482,0.0,0,0,0.0,0,0,-0.184146702,0.184146702,Small Change (0-5%),No Change,0.5,0.3837209302384701
000:00:04.569000,17.19.csv,Audio File 17.mp3,-0.04743131,0.176429013,Yellow,Audio File 17,130.8139535,14.25008892,114.3593681,0.23255814,0.041535991,283.6997473,4.569,24.68187802,24.68187802,3260.916636,23.25581395,23.25581395,23.25581395,0.237442074,0.237442074,Large Change (>15%),Increase in Tempo → Increase in Arousal,0.6918604651506264,0.6202001081193769
