Duration (hh:mm:ss.ms),Trial ID,Song_x,Valence,Arousal,Quadrant Color,Song_y,Tempo (bpm),Tempo Std Dev,Mean BPM,Coefficient of Variation,Rolling Coefficient of Variation,Instantaneous Rate of Tempo Change,Timestamp,Rate_of_Tempo_Change,ABSOLUTE RATE CHANGE,Tempo_Acceleration,Tempo_Change_Percentage,ABSOLUTE CHANGE PERCENTAGE,abs tempo change percentage,Arousal_Change,ABSOLUTE AROUSAL CHANGE,Tempo_Change_Category,Arousal_Response_Category,Normalized_Rate_of_Tempo_Change,Normalized_Tempo_Change_Percentage
000:00:02.102000,19.13.csv,Audio File 19.mp3,0.242378784,-0.790571303,Blue,Audio File 19,135.9991776,0.0,135.9991776,0.0,0.0,0.0,2.102,0.0,0,0,0.0,0,0,0.006522692,0.006522692,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:02.848000,19.19.csv,Audio File 19.mp3,0.425324675,-0.704974271,Blue,Audio File 19,143.5546875,4.362175656,138.5176809,0.055555556,0.010497278,10.12802931,2.848,7.555509868,7.555509868,13.5764468,5.555555556,5.555555556,5.555555556,0.085597032,0.085597032,Moderate Change (5-15%),Increase in Tempo → Increase in Arousal,0.5590364800838634,0.4292561469104981
000:00:02.878000,19.3.csv,Audio File 19.mp3,0.321208453,0.037200088,Green,Audio File 19,143.5546875,4.362175656,141.0361842,0.0,0.020807104,0.0,2.878,0.0,0,-337.6009771,0.0,0,0,0.742174359,0.742174359,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:03.749000,19.19.csv,Audio File 19.mp3,0.596851262,-0.678020093,Blue,Audio File 19,161.4990234,10.36016718,149.5361328,0.125,0.043901115,20.60199304,3.749,17.94433594,17.94433594,23.65326411,12.5,12.5,12.5,-0.715220181,0.715220181,Moderate Change (5-15%),Increase in Tempo → Decrease in Arousal,0.6402116402265234,0.4952380952408099
000:00:05.469000,19.20.csv,Audio File 19.mp3,0.426366087,-0.825042882,Blue,Audio File 19,147.65625,9.402520793,150.9033203,-0.085714286,0.054173251,-8.048124092,5.469,-13.84277344,13.84277344,-16.65704484,-8.571428571,8.571428571,8.571428571,-0.147022789,0.147022789,Moderate Change (5-15%),Decrease in Tempo → Decrease in Arousal,0.39183673467793123,0.2950300120126654
000:00:05.634000,19.12.csv,Audio File 19.mp3,0.298533724,-0.813395894,Blue,Audio File 19,101.3327206,31.51051611,136.8293313,-0.31372549,0.120626976,-280.7486631,5.634,-46.32352941,46.32352941,-1652.730539,-31.37254902,31.37254902,31.37254902,0.011646987,0.011646987,Large Change (>15%),Decrease in Tempo → Increase in Arousal,0.13804188344583024,0.07838743340596493
000:00:06.409000,19.5.csv,Audio File 19.mp3,0.3,-0.762774194,Blue,Audio File 19,101.3327206,26.74490218,116.7738971,0.0,0.173876803,0.0,6.409,0.0,0,362.2563395,0.0,0,0,0.050621701,0.050621701,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:06.811000,19.2.csv,Audio File 19.mp3,0.277596415,-0.697238975,Blue,Audio File 19,161.4990234,34.73703115,121.3881549,0.59375,0.248495694,149.66742,6.811,60.16630285,60.16630285,372.307015,59.375,59.375,59.375,0.065535218,0.065535218,Large Change (>15%),Increase in Tempo → Increase in Arousal,0.9701213818762386,0.9406162464989188
000:00:06.817000,19.20.csv,Audio File 19.mp3,0.622396471,-0.822592502,Blue,Audio File 19,161.4990234,34.73703115,141.4435892,0.0,0.25359524,0.0,6.817,0.0,0,-24944.57,0.0,0,0,-0.125353527,0.125353527,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:07.267000,19.1.csv,Audio File 19.mp3,0.520422768,-0.527623032,Blue,Audio File 19,161.4990234,0.0,161.4990234,0.0,0.177251403,0.0,7.267,0.0,0,0,0.0,0,0,0.29496947,0.29496947,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:07.690000,19.4.csv,Audio File 19.mp3,0.448273866,-0.691360645,Blue,Audio File 19,161.4990234,0.0,161.4990234,0.0,0.081863098,0.0,7.69,0.0,0,0,0.0,0,0,-0.163737613,0.163737613,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:08.219000,19.18.csv,Audio File 19.mp3,0.434667373,-0.790087464,Blue,Audio File 19,161.4990234,0.0,161.4990234,0.0,0.0,0.0,8.219,0.0,0,0,0.0,0,0,-0.098726818,0.098726818,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:08.319000,19.15.csv,Audio File 19.mp3,0.255186233,-0.747803352,Blue,Audio File 19,161.4990234,0.0,161.4990234,0.0,0.0,0.0,8.319,0.0,0,0,0.0,0,0,0.042284112,0.042284112,Small Change (0-5%),No Change,0.5,0.37647058823864754
000:00:08.916000,19.20.csv,Audio File 19.mp3,0.617495712,-0.687821612,Blue,Audio File 19,147.65625,7.99212897,156.8847656,-0.085714286,0.01698089,-23.18722519,8.916,-13.84277344,13.84277344,-38.83957318,-8.571428571,8.571428571,8.571428571,0.059981739,0.059981739,Moderate Change (5-15%),Decrease in Tempo → Increase in Arousal,0.39183673467793123,0.2950300120126654
